anio,iso3,iso3_desc_fundar,es_agregacion,letra,gran_sector,id_tipo_sector,tipo_sector,particip_va_pib,geocodigoFundar,geonombreFundar
1970,CMR,Camerún,0,AB,Agro y pesca,1,Bienes,0.208382618518202,CMR,Camerún
1970,CMR,Camerún,0,F,Construcción,1,Bienes,0.0597265457005096,CMR,Camerún
1970,CMR,Camerún,0,D,Industria manufacturera,1,Bienes,0.126726757424046,CMR,Camerún
1970,CMR,Camerún,0,CE,Energía y minería,1,Bienes,0.0205122942218672,CMR,Camerún
1970,CMR,Camerún,0,JKLMNOP,Otros servicios,2,Servicios,0.285285789845979,CMR,Camerún
1970,CMR,Camerún,0,I,Transporte y comunicaciones,2,Servicios,0.0813473615020593,CMR,Camerún
1970,CMR,Camerún,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.218018632787337,CMR,Camerún
1970,CAN,Canadá,0,AB,Agro y pesca,1,Bienes,0.0445503155053426,CAN,Canadá
1970,CAN,Canadá,0,F,Construcción,1,Bienes,0.0734142571154276,CAN,Canadá
1970,CAN,Canadá,0,D,Industria manufacturera,1,Bienes,0.217125769748957,CAN,Canadá
1970,CAN,Canadá,0,CE,Energía y minería,1,Bienes,0.0705886824937836,CAN,Canadá
1970,CAN,Canadá,0,JKLMNOP,Otros servicios,2,Servicios,0.36261118572536,CAN,Canadá
1970,CAN,Canadá,0,I,Transporte y comunicaciones,2,Servicios,0.0879222523461289,CAN,Canadá
1970,CAN,Canadá,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.143787537065001,CAN,Canadá
1970,CPV,Cabo Verde,0,AB,Agro y pesca,1,Bienes,,CPV,Cabo Verde
1970,CPV,Cabo Verde,0,F,Construcción,1,Bienes,,CPV,Cabo Verde
1970,CPV,Cabo Verde,0,D,Industria manufacturera,1,Bienes,,CPV,Cabo Verde
1970,CPV,Cabo Verde,0,CE,Energía y minería,1,Bienes,,CPV,Cabo Verde
1970,CPV,Cabo Verde,0,JKLMNOP,Otros servicios,2,Servicios,,CPV,Cabo Verde
1970,CPV,Cabo Verde,0,I,Transporte y comunicaciones,2,Servicios,,CPV,Cabo Verde
1970,CPV,Cabo Verde,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,,CPV,Cabo Verde
1970,CYM,Islas Caimán,0,AB,Agro y pesca,1,Bienes,0.0027643007325118,CYM,Islas Caimán
